"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 31 02:39:55 GMT 2024","Fri May 31 02:39:55 GMT 2024","457","Registration_and_authentication","User_registraion","","","","Password_is_not_string",""
"passed","Fri May 31 02:40:01 GMT 2024","Fri May 31 02:40:02 GMT 2024","695","Task_operations","Create_task","","","","Create_task_by_student",""
"passed","Fri May 31 02:40:10 GMT 2024","Fri May 31 02:40:10 GMT 2024","533","Task_operations","Partial_task_update","","","","Update_task_full",""
"passed","Fri May 31 02:39:48 GMT 2024","Fri May 31 02:39:49 GMT 2024","912","Registration_and_authentication","User_registraion","","","","Register_with_already_existing_login",""
"passed","Fri May 31 02:40:13 GMT 2024","Fri May 31 02:40:13 GMT 2024","762","Task_operations","Delete_task","","","","Delete_existing_task_by_teacher",""
"failed","Fri May 31 02:39:41 GMT 2024","Fri May 31 02:39:42 GMT 2024","773","Registration_and_authentication","User_registraion","","","","Register_user_by_student",""
"passed","Fri May 31 02:39:49 GMT 2024","Fri May 31 02:39:50 GMT 2024","382","Registration_and_authentication","User_registraion","","","","Password_length_less_than_4",""
"passed","Fri May 31 02:40:04 GMT 2024","Fri May 31 02:40:05 GMT 2024","765","Task_operations","Full_task_update","","","","Update_task_by_admin",""
"passed","Fri May 31 02:40:08 GMT 2024","Fri May 31 02:40:09 GMT 2024","618","Task_operations","Partial_task_update","","","","Update_task_title",""
"passed","Fri May 31 02:40:02 GMT 2024","Fri May 31 02:40:03 GMT 2024","388","Task_operations","Create_task","","","","Create_task_without_auth",""
"passed","Fri May 31 02:39:47 GMT 2024","Fri May 31 02:39:47 GMT 2024","526","Registration_and_authentication","User_registraion","","","","login_invalid_format",""
"passed","Fri May 31 02:39:46 GMT 2024","Fri May 31 02:39:47 GMT 2024","526","Registration_and_authentication","User_registraion","","","","password_is_null",""
"passed","Fri May 31 02:39:44 GMT 2024","Fri May 31 02:39:44 GMT 2024","388","Registration_and_authentication","User_registraion","","","","login_is_missing",""
