"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 02:10:35 GMT 2024","Fri May 31 02:10:36 GMT 2024","1014","Registration_and_authentication","User_authentication","","","","Authenticate_admin",""
"passed","Fri May 31 02:10:39 GMT 2024","Fri May 31 02:10:40 GMT 2024","1023","Registration_and_authentication","User_authentication","","","","Wrong_password",""
"passed","Fri May 31 02:10:42 GMT 2024","Fri May 31 02:10:44 GMT 2024","1109","Task_operations","Create_task","","","","Create_task_by_admin",""
"failed","Fri May 31 02:10:54 GMT 2024","Fri May 31 02:10:56 GMT 2024","1377","Task_operations","Full_task_update","","","","Update_task_not_all_params",""
"failed","Fri May 31 02:10:05 GMT 2024","Fri May 31 02:10:06 GMT 2024","1341","Registration_and_authentication","User_registraion","","","","Admin_profile",""
"passed","Fri May 31 02:10:57 GMT 2024","Fri May 31 02:10:58 GMT 2024","945","Task_operations","Partial_task_update","","","","Update_task_answer",""
"passed","Fri May 31 02:10:22 GMT 2024","Fri May 31 02:10:23 GMT 2024","1333","Registration_and_authentication","User_registraion","","","","Register_with_already_existing_email",""
"failed","Fri May 31 02:10:06 GMT 2024","Fri May 31 02:10:08 GMT 2024","1351","Registration_and_authentication","User_registraion","","","","Teacher_profile",""
"passed","Fri May 31 02:10:17 GMT 2024","Fri May 31 02:10:18 GMT 2024","668","Registration_and_authentication","User_registraion","","","","password_is_missing",""
"passed","Fri May 31 02:10:45 GMT 2024","Fri May 31 02:10:46 GMT 2024","1199","Task_operations","Create_task","","","","Create_task_by_teacher",""
"passed","Fri May 31 02:10:04 GMT 2024","Fri May 31 02:10:05 GMT 2024","1353","Registration_and_authentication","User_registraion","","","","All_possible_params_student",""
"passed","Fri May 31 02:10:30 GMT 2024","Fri May 31 02:10:32 GMT 2024","1605","Registration_and_authentication","User_registraion","","","","Login_length_50",""
"failed","Fri May 31 02:10:32 GMT 2024","Fri May 31 02:10:33 GMT 2024","1015","Registration_and_authentication","User_registraion","","","","Login_is_not_string",""
"passed","Fri May 31 02:11:01 GMT 2024","Fri May 31 02:11:02 GMT 2024","1241","Task_operations","Delete_task","","","","Delete_existing_task_by_admin",""
"passed","Fri May 31 02:10:12 GMT 2024","Fri May 31 02:10:14 GMT 2024","1335","Registration_and_authentication","User_registraion","","","","anonymousUser_request",""
"failed","Fri May 31 02:10:08 GMT 2024","Fri May 31 02:10:08 GMT 2024","745","Registration_and_authentication","User_registraion","","","","Not_existing_role",""
"failed","Fri May 31 02:10:48 GMT 2024","Fri May 31 02:10:49 GMT 2024","942","Task_operations","Create_task","","","","Answer_is_missing",""
"passed","Fri May 31 02:10:44 GMT 2024","Fri May 31 02:10:45 GMT 2024","1164","Task_operations","Create_task","","","","Create_task_by_student",""
"passed","Fri May 31 02:10:46 GMT 2024","Fri May 31 02:10:47 GMT 2024","658","Task_operations","Create_task","","","","Create_task_without_auth",""
"passed","Fri May 31 02:10:34 GMT 2024","Fri May 31 02:10:35 GMT 2024","659","Registration_and_authentication","User_registraion","","","","email_is_not_string",""
"passed","Fri May 31 02:10:36 GMT 2024","Fri May 31 02:10:37 GMT 2024","1016","Registration_and_authentication","User_authentication","","","","Authenticate_student",""
"passed","Fri May 31 02:10:37 GMT 2024","Fri May 31 02:10:38 GMT 2024","1011","Registration_and_authentication","User_authentication","","","","Authenticate_teacher",""
"passed","Fri May 31 02:10:38 GMT 2024","Fri May 31 02:10:39 GMT 2024","1001","Registration_and_authentication","User_authentication","","","","Only_required_params",""
"passed","Fri May 31 02:10:20 GMT 2024","Fri May 31 02:10:21 GMT 2024","937","Registration_and_authentication","User_registraion","","","","email_invalid_format",""
"passed","Fri May 31 02:10:24 GMT 2024","Fri May 31 02:10:26 GMT 2024","1601","Registration_and_authentication","User_registraion","","","","Password_length_4",""
"failed","Fri May 31 02:11:07 GMT 2024","Fri May 31 02:11:07 GMT 2024","663","Task_operations","Delete_task","","","","Delete_not_existing_task_by_admin",""
"passed","Fri May 31 02:10:50 GMT 2024","Fri May 31 02:10:52 GMT 2024","1454","Task_operations","Full_task_update","","","","Update_task_by_teacher",""
"passed","Fri May 31 02:10:02 GMT 2024","Fri May 31 02:10:04 GMT 2024","1862","Registration_and_authentication","User_registraion","","","","Only_required_params",""
"passed","Fri May 31 02:10:56 GMT 2024","Fri May 31 02:10:57 GMT 2024","1106","Task_operations","Partial_task_update","","","","Update_task_title",""
"passed","Fri May 31 02:11:07 GMT 2024","Fri May 31 02:11:08 GMT 2024","663","Task_operations","Delete_task","","","","Invalid_task_id",""
"passed","Fri May 31 02:10:18 GMT 2024","Fri May 31 02:10:19 GMT 2024","942","Registration_and_authentication","User_registraion","","","","password_is_null",""
"passed","Fri May 31 02:11:02 GMT 2024","Fri May 31 02:11:04 GMT 2024","1514","Task_operations","Delete_task","","","","Delete_existing_task_not_auth",""
"passed","Fri May 31 02:11:04 GMT 2024","Fri May 31 02:11:05 GMT 2024","1320","Task_operations","Delete_task","","","","Delete_existing_task_by_teacher",""
"passed","Fri May 31 02:10:26 GMT 2024","Fri May 31 02:10:28 GMT 2024","1607","Registration_and_authentication","User_registraion","","","","Password_length_100",""
"failed","Fri May 31 02:10:33 GMT 2024","Fri May 31 02:10:34 GMT 2024","741","Registration_and_authentication","User_registraion","","","","Password_is_not_string",""
"passed","Fri May 31 02:10:32 GMT 2024","Fri May 31 02:10:32 GMT 2024","668","Registration_and_authentication","User_registraion","","","","Login_length_more_than_50",""
"passed","Fri May 31 02:10:14 GMT 2024","Fri May 31 02:10:14 GMT 2024","663","Registration_and_authentication","User_registraion","","","","login_is_missing",""
"passed","Fri May 31 02:11:00 GMT 2024","Fri May 31 02:11:01 GMT 2024","1370","Task_operations","Partial_task_update","","","","No_update",""
"failed","Fri May 31 02:10:47 GMT 2024","Fri May 31 02:10:47 GMT 2024","663","Task_operations","Create_task","","","","Text_is_missing",""
"passed","Fri May 31 02:10:28 GMT 2024","Fri May 31 02:10:29 GMT 2024","1319","Registration_and_authentication","User_registraion","","","","Login_length_1",""
"passed","Fri May 31 02:10:58 GMT 2024","Fri May 31 02:10:59 GMT 2024","952","Task_operations","Partial_task_update","","","","Update_task_text",""
"passed","Fri May 31 02:10:59 GMT 2024","Fri May 31 02:11:00 GMT 2024","949","Task_operations","Partial_task_update","","","","Update_task_full",""
"passed","Fri May 31 02:10:23 GMT 2024","Fri May 31 02:10:24 GMT 2024","662","Registration_and_authentication","User_registraion","","","","Password_length_less_than_4",""
"passed","Fri May 31 02:10:49 GMT 2024","Fri May 31 02:10:50 GMT 2024","1377","Task_operations","Full_task_update","","","","Update_task_by_admin",""
"failed","Fri May 31 02:10:47 GMT 2024","Fri May 31 02:10:48 GMT 2024","949","Task_operations","Create_task","","","","Title_is_missing",""
"passed","Fri May 31 02:10:53 GMT 2024","Fri May 31 02:10:54 GMT 2024","662","Task_operations","Full_task_update","","","","Update_task_without_auth",""
"passed","Fri May 31 02:10:19 GMT 2024","Fri May 31 02:10:20 GMT 2024","939","Registration_and_authentication","User_registraion","","","","login_invalid_format",""
"passed","Fri May 31 02:10:26 GMT 2024","Fri May 31 02:10:26 GMT 2024","659","Registration_and_authentication","User_registraion","","","","Password_length_more_than_100",""
"passed","Fri May 31 02:10:14 GMT 2024","Fri May 31 02:10:15 GMT 2024","948","Registration_and_authentication","User_registraion","","","","login_is_null",""
"failed","Fri May 31 02:10:08 GMT 2024","Fri May 31 02:10:10 GMT 2024","1332","Registration_and_authentication","User_registraion","","","","Several_roles",""
"failed","Fri May 31 02:10:16 GMT 2024","Fri May 31 02:10:17 GMT 2024","751","Registration_and_authentication","User_registraion","","","","email_is_null",""
"passed","Fri May 31 02:10:40 GMT 2024","Fri May 31 02:10:41 GMT 2024","1014","Registration_and_authentication","User_authentication","","","","Not_existing_username",""
"failed","Fri May 31 02:10:11 GMT 2024","Fri May 31 02:10:12 GMT 2024","1252","Registration_and_authentication","User_registraion","","","","Register_user_by_teacher",""
"passed","Fri May 31 02:10:21 GMT 2024","Fri May 31 02:10:22 GMT 2024","1619","Registration_and_authentication","User_registraion","","","","Register_with_already_existing_login",""
"passed","Fri May 31 02:10:52 GMT 2024","Fri May 31 02:10:53 GMT 2024","1171","Task_operations","Full_task_update","","","","Update_task_by_student",""
