"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 03:34:06 GMT 2024","Fri May 31 03:34:07 GMT 2024","660","Registration_and_authentication","User_registraion","","","","Login_length_less_than_1",""
"passed","Fri May 31 03:33:40 GMT 2024","Fri May 31 03:33:42 GMT 2024","1378","Registration_and_authentication","User_registraion","","","","All_possible_params_student",""
"passed","Fri May 31 03:33:56 GMT 2024","Fri May 31 03:33:57 GMT 2024","943","Registration_and_authentication","User_registraion","","","","email_invalid_format",""
"passed","Fri May 31 03:34:14 GMT 2024","Fri May 31 03:34:15 GMT 2024","1010","Registration_and_authentication","User_authentication","","","","Only_required_params",""
"passed","Fri May 31 03:34:13 GMT 2024","Fri May 31 03:34:14 GMT 2024","1019","Registration_and_authentication","User_authentication","","","","Authenticate_teacher",""
"passed","Fri May 31 03:34:03 GMT 2024","Fri May 31 03:34:05 GMT 2024","1620","Registration_and_authentication","User_registraion","","","","Password_length_100",""
"failed","Fri May 31 03:33:44 GMT 2024","Fri May 31 03:33:45 GMT 2024","750","Registration_and_authentication","User_registraion","","","","Not_existing_role",""
"passed","Fri May 31 03:34:30 GMT 2024","Fri May 31 03:34:31 GMT 2024","666","Task_operations","Full_task_update","","","","Update_task_without_auth",""
"failed","Fri May 31 03:33:45 GMT 2024","Fri May 31 03:33:46 GMT 2024","1344","Registration_and_authentication","User_registraion","","","","Several_roles",""
"passed","Fri May 31 03:34:12 GMT 2024","Fri May 31 03:34:13 GMT 2024","1011","Registration_and_authentication","User_authentication","","","","Authenticate_student",""
"passed","Fri May 31 03:33:21 GMT 2024","Fri May 31 03:33:40 GMT 2024","18683","Registration_and_authentication","User_registraion","","","","Only_required_params",""
"passed","Fri May 31 03:34:23 GMT 2024","Fri May 31 03:34:23 GMT 2024","661","Task_operations","Create_task","","","","Create_task_without_auth",""
"passed","Fri May 31 03:34:29 GMT 2024","Fri May 31 03:34:30 GMT 2024","1175","Task_operations","Full_task_update","","","","Update_task_by_student",""
"passed","Fri May 31 03:34:37 GMT 2024","Fri May 31 03:34:38 GMT 2024","1377","Task_operations","Partial_task_update","","","","No_update",""
"failed","Fri May 31 03:33:43 GMT 2024","Fri May 31 03:33:44 GMT 2024","1355","Registration_and_authentication","User_registraion","","","","Teacher_profile",""
"failed","Fri May 31 03:34:18 GMT 2024","Fri May 31 03:34:19 GMT 2024","1626","Registration_and_authentication","User_authentication","","","","Authenticate_new_not_activated_user",""
"passed","Fri May 31 03:33:55 GMT 2024","Fri May 31 03:33:56 GMT 2024","940","Registration_and_authentication","User_registraion","","","","login_invalid_format",""
"failed","Fri May 31 03:33:46 GMT 2024","Fri May 31 03:33:48 GMT 2024","1254","Registration_and_authentication","User_registraion","","","","Register_user_by_student",""
"passed","Fri May 31 03:34:33 GMT 2024","Fri May 31 03:34:34 GMT 2024","1103","Task_operations","Partial_task_update","","","","Update_task_title",""
"passed","Fri May 31 03:34:36 GMT 2024","Fri May 31 03:34:37 GMT 2024","954","Task_operations","Partial_task_update","","","","Update_task_full",""
"failed","Fri May 31 03:34:25 GMT 2024","Fri May 31 03:34:26 GMT 2024","952","Task_operations","Create_task","","","","Answer_is_missing",""
"failed","Fri May 31 03:34:31 GMT 2024","Fri May 31 03:34:33 GMT 2024","1374","Task_operations","Full_task_update","","","","Update_task_not_all_params",""
"failed","Fri May 31 03:34:31 GMT 2024","Fri May 31 03:34:31 GMT 2024","665","Task_operations","Full_task_update","","","","Update_not_existing_task",""
"passed","Fri May 31 03:34:19 GMT 2024","Fri May 31 03:34:20 GMT 2024","1112","Task_operations","Create_task","","","","Create_task_by_admin",""
"passed","Fri May 31 03:34:16 GMT 2024","Fri May 31 03:34:18 GMT 2024","1016","Registration_and_authentication","User_authentication","","","","Not_existing_username",""
"passed","Fri May 31 03:34:08 GMT 2024","Fri May 31 03:34:09 GMT 2024","657","Registration_and_authentication","User_registraion","","","","Login_length_more_than_50",""
"passed","Fri May 31 03:34:01 GMT 2024","Fri May 31 03:34:02 GMT 2024","1618","Registration_and_authentication","User_registraion","","","","Password_length_4",""
"passed","Fri May 31 03:34:07 GMT 2024","Fri May 31 03:34:08 GMT 2024","1613","Registration_and_authentication","User_registraion","","","","Login_length_50",""
"failed","Fri May 31 03:34:24 GMT 2024","Fri May 31 03:34:25 GMT 2024","947","Task_operations","Create_task","","","","Title_is_missing",""
"passed","Fri May 31 03:33:50 GMT 2024","Fri May 31 03:33:51 GMT 2024","702","Registration_and_authentication","User_registraion","","","","login_is_missing",""
"passed","Fri May 31 03:33:54 GMT 2024","Fri May 31 03:33:54 GMT 2024","668","Registration_and_authentication","User_registraion","","","","password_is_missing",""
"passed","Fri May 31 03:34:15 GMT 2024","Fri May 31 03:34:16 GMT 2024","1021","Registration_and_authentication","User_authentication","","","","Wrong_password",""
"passed","Fri May 31 03:34:38 GMT 2024","Fri May 31 03:34:39 GMT 2024","1248","Task_operations","Delete_task","","","","Delete_existing_task_by_admin",""
"failed","Fri May 31 03:33:53 GMT 2024","Fri May 31 03:33:54 GMT 2024","752","Registration_and_authentication","User_registraion","","","","email_is_null",""
