"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 31 02:00:49 GMT 2024","Fri May 31 02:00:50 GMT 2024","1173","Registration_and_authentication","User_registraion","","","","Admin_profile",""
"passed","Fri May 31 02:00:57 GMT 2024","Fri May 31 02:00:57 GMT 2024","577","Registration_and_authentication","User_registraion","","","","login_is_missing",""
"passed","Fri May 31 02:01:30 GMT 2024","Fri May 31 02:01:31 GMT 2024","1023","Task_operations","Full_task_update","","","","Update_task_by_student",""
"passed","Fri May 31 02:01:24 GMT 2024","Fri May 31 02:01:25 GMT 2024","1019","Task_operations","Create_task","","","","Create_task_by_teacher",""
"failed","Fri May 31 02:01:32 GMT 2024","Fri May 31 02:01:34 GMT 2024","1201","Task_operations","Full_task_update","","","","Update_task_not_all_params",""
"failed","Fri May 31 02:01:26 GMT 2024","Fri May 31 02:01:26 GMT 2024","586","Task_operations","Create_task","","","","Text_is_missing",""
"passed","Fri May 31 02:01:00 GMT 2024","Fri May 31 02:01:01 GMT 2024","837","Registration_and_authentication","User_registraion","","","","password_is_null",""
"passed","Fri May 31 02:01:31 GMT 2024","Fri May 31 02:01:32 GMT 2024","588","Task_operations","Full_task_update","","","","Update_task_without_auth",""
"passed","Fri May 31 02:01:28 GMT 2024","Fri May 31 02:01:29 GMT 2024","1180","Task_operations","Full_task_update","","","","Update_task_by_admin",""
"passed","Fri May 31 02:01:03 GMT 2024","Fri May 31 02:01:04 GMT 2024","1385","Registration_and_authentication","User_registraion","","","","Register_with_already_existing_login",""
"passed","Fri May 31 02:01:35 GMT 2024","Fri May 31 02:01:35 GMT 2024","810","Task_operations","Partial_task_update","","","","Update_task_answer",""
"failed","Fri May 31 02:00:58 GMT 2024","Fri May 31 02:00:59 GMT 2024","900","Registration_and_authentication","User_registraion","","","","email_is_missing",""
"passed","Fri May 31 02:01:42 GMT 2024","Fri May 31 02:01:43 GMT 2024","1163","Task_operations","Delete_task","","","","Delete_existing_task_by_student",""
"passed","Fri May 31 02:01:34 GMT 2024","Fri May 31 02:01:35 GMT 2024","939","Task_operations","Partial_task_update","","","","Update_task_title",""
"passed","Fri May 31 02:00:56 GMT 2024","Fri May 31 02:00:57 GMT 2024","1163","Registration_and_authentication","User_registraion","","","","anonymousUser_request",""
"passed","Fri May 31 02:01:04 GMT 2024","Fri May 31 02:01:05 GMT 2024","1146","Registration_and_authentication","User_registraion","","","","Register_with_already_existing_email",""
"failed","Fri May 31 02:00:59 GMT 2024","Fri May 31 02:01:00 GMT 2024","659","Registration_and_authentication","User_registraion","","","","email_is_null",""
"failed","Fri May 31 02:00:53 GMT 2024","Fri May 31 02:00:55 GMT 2024","1104","Registration_and_authentication","User_registraion","","","","Register_user_by_student",""
"passed","Fri May 31 02:01:00 GMT 2024","Fri May 31 02:01:00 GMT 2024","582","Registration_and_authentication","User_registraion","","","","password_is_missing",""
"failed","Fri May 31 02:01:21 GMT 2024","Fri May 31 02:01:22 GMT 2024","1394","Registration_and_authentication","User_authentication","","","","Authenticate_new_not_activated_user",""
"failed","Fri May 31 02:01:27 GMT 2024","Fri May 31 02:01:28 GMT 2024","816","Task_operations","Create_task","","","","Answer_is_missing",""
"passed","Fri May 31 02:01:06 GMT 2024","Fri May 31 02:01:07 GMT 2024","1387","Registration_and_authentication","User_registraion","","","","Password_length_4",""
"passed","Fri May 31 02:01:16 GMT 2024","Fri May 31 02:01:17 GMT 2024","875","Registration_and_authentication","User_authentication","","","","Authenticate_student",""
"passed","Fri May 31 02:01:36 GMT 2024","Fri May 31 02:01:37 GMT 2024","824","Task_operations","Partial_task_update","","","","Update_task_full",""
"passed","Fri May 31 02:01:41 GMT 2024","Fri May 31 02:01:42 GMT 2024","1152","Task_operations","Delete_task","","","","Delete_existing_task_by_teacher",""
"passed","Fri May 31 02:01:29 GMT 2024","Fri May 31 02:01:30 GMT 2024","1252","Task_operations","Full_task_update","","","","Update_task_by_teacher",""
"passed","Fri May 31 02:01:20 GMT 2024","Fri May 31 02:01:21 GMT 2024","907","Registration_and_authentication","User_authentication","","","","Not_existing_username",""
"passed","Fri May 31 02:01:02 GMT 2024","Fri May 31 02:01:03 GMT 2024","802","Registration_and_authentication","User_registraion","","","","email_invalid_format",""
"passed","Fri May 31 02:01:38 GMT 2024","Fri May 31 02:01:39 GMT 2024","1064","Task_operations","Delete_task","","","","Delete_existing_task_by_admin",""
"passed","Fri May 31 02:01:17 GMT 2024","Fri May 31 02:01:18 GMT 2024","888","Registration_and_authentication","User_authentication","","","","Authenticate_teacher",""
"passed","Fri May 31 02:01:12 GMT 2024","Fri May 31 02:01:13 GMT 2024","590","Registration_and_authentication","User_registraion","","","","Login_length_more_than_50",""
"passed","Fri May 31 02:01:15 GMT 2024","Fri May 31 02:01:15 GMT 2024","566","Registration_and_authentication","User_registraion","","","","email_is_not_string",""
"failed","Fri May 31 02:00:50 GMT 2024","Fri May 31 02:00:52 GMT 2024","1156","Registration_and_authentication","User_registraion","","","","Teacher_profile",""
"passed","Fri May 31 02:00:46 GMT 2024","Fri May 31 02:00:48 GMT 2024","1774","Registration_and_authentication","User_registraion","","","","Only_required_params",""
"failed","Fri May 31 02:01:32 GMT 2024","Fri May 31 02:01:32 GMT 2024","578","Task_operations","Full_task_update","","","","Update_not_existing_task",""
"passed","Fri May 31 02:01:09 GMT 2024","Fri May 31 02:01:10 GMT 2024","1150","Registration_and_authentication","User_registraion","","","","Login_length_1",""
"passed","Fri May 31 02:01:11 GMT 2024","Fri May 31 02:01:12 GMT 2024","1403","Registration_and_authentication","User_registraion","","","","Login_length_50",""
"failed","Fri May 31 02:01:26 GMT 2024","Fri May 31 02:01:27 GMT 2024","810","Task_operations","Create_task","","","","Title_is_missing",""
"passed","Fri May 31 02:01:11 GMT 2024","Fri May 31 02:01:11 GMT 2024","570","Registration_and_authentication","User_registraion","","","","Login_length_less_than_1",""
"passed","Fri May 31 02:01:43 GMT 2024","Fri May 31 02:01:44 GMT 2024","566","Task_operations","Delete_task","","","","Invalid_task_id",""
"failed","Fri May 31 02:01:14 GMT 2024","Fri May 31 02:01:15 GMT 2024","675","Registration_and_authentication","User_registraion","","","","Password_is_not_string",""
"failed","Fri May 31 02:00:52 GMT 2024","Fri May 31 02:00:53 GMT 2024","1156","Registration_and_authentication","User_registraion","","","","Several_roles",""
"passed","Fri May 31 02:01:18 GMT 2024","Fri May 31 02:01:19 GMT 2024","903","Registration_and_authentication","User_authentication","","","","Only_required_params",""
"passed","Fri May 31 02:01:19 GMT 2024","Fri May 31 02:01:20 GMT 2024","877","Registration_and_authentication","User_authentication","","","","Wrong_password",""
"passed","Fri May 31 02:01:07 GMT 2024","Fri May 31 02:01:08 GMT 2024","580","Registration_and_authentication","User_registraion","","","","Password_length_more_than_100",""
"failed","Fri May 31 02:00:52 GMT 2024","Fri May 31 02:00:52 GMT 2024","710","Registration_and_authentication","User_registraion","","","","Not_existing_role",""
"passed","Fri May 31 02:00:48 GMT 2024","Fri May 31 02:00:49 GMT 2024","1238","Registration_and_authentication","User_registraion","","","","All_possible_params_student",""
"passed","Fri May 31 02:01:25 GMT 2024","Fri May 31 02:01:26 GMT 2024","582","Task_operations","Create_task","","","","Create_task_without_auth",""
