"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 01:40:01 GMT 2024","Fri May 31 01:40:02 GMT 2024","528","Registration_and_authentication","User_registraion","","","","login_invalid_format",""
"failed","Fri May 31 01:40:09 GMT 2024","Fri May 31 01:40:10 GMT 2024","614","Registration_and_authentication","User_registraion","","","","Login_is_not_string",""
"passed","Fri May 31 01:40:11 GMT 2024","Fri May 31 01:40:11 GMT 2024","609","Registration_and_authentication","User_authentication","","","","Authenticate_admin",""
"failed","Fri May 31 01:40:01 GMT 2024","Fri May 31 01:40:01 GMT 2024","534","Registration_and_authentication","User_registraion","","","","password_is_null",""
"failed","Fri May 31 01:39:55 GMT 2024","Fri May 31 01:39:56 GMT 2024","796","Registration_and_authentication","User_registraion","","","","Several_roles",""
"passed","Fri May 31 01:39:58 GMT 2024","Fri May 31 01:39:58 GMT 2024","774","Registration_and_authentication","User_registraion","","","","anonymousUser_request",""
"passed","Fri May 31 01:40:13 GMT 2024","Fri May 31 01:40:14 GMT 2024","603","Registration_and_authentication","User_authentication","","","","Wrong_password",""
"passed","Fri May 31 01:39:52 GMT 2024","Fri May 31 01:39:53 GMT 2024","809","Registration_and_authentication","User_registraion","","","","All_possible_params_student",""
"passed","Fri May 31 01:39:51 GMT 2024","Fri May 31 01:39:52 GMT 2024","1091","Registration_and_authentication","User_registraion","","","","Only_required_params",""
"failed","Fri May 31 01:39:53 GMT 2024","Fri May 31 01:39:54 GMT 2024","789","Registration_and_authentication","User_registraion","","","","Admin_profile",""
"passed","Fri May 31 01:40:03 GMT 2024","Fri May 31 01:40:04 GMT 2024","789","Registration_and_authentication","User_registraion","","","","Register_with_already_existing_email",""
"failed","Fri May 31 01:40:10 GMT 2024","Fri May 31 01:40:10 GMT 2024","470","Registration_and_authentication","User_registraion","","","","Password_is_not_string",""
"failed","Fri May 31 01:39:57 GMT 2024","Fri May 31 01:39:58 GMT 2024","784","Registration_and_authentication","User_registraion","","","","Register_user_by_teacher",""
"passed","Fri May 31 01:40:05 GMT 2024","Fri May 31 01:40:06 GMT 2024","388","Registration_and_authentication","User_registraion","","","","Password_length_more_than_100",""
"passed","Fri May 31 01:40:10 GMT 2024","Fri May 31 01:40:11 GMT 2024","388","Registration_and_authentication","User_registraion","","","","email_is_not_string",""
"passed","Fri May 31 01:40:04 GMT 2024","Fri May 31 01:40:05 GMT 2024","919","Registration_and_authentication","User_registraion","","","","Password_length_4",""
"passed","Fri May 31 01:40:07 GMT 2024","Fri May 31 01:40:08 GMT 2024","384","Registration_and_authentication","User_registraion","","","","Login_length_less_than_1",""
"passed","Fri May 31 01:40:02 GMT 2024","Fri May 31 01:40:03 GMT 2024","910","Registration_and_authentication","User_registraion","","","","Register_with_already_existing_login",""
"passed","Fri May 31 01:40:04 GMT 2024","Fri May 31 01:40:04 GMT 2024","386","Registration_and_authentication","User_registraion","","","","Password_length_less_than_4",""
"failed","Fri May 31 01:39:54 GMT 2024","Fri May 31 01:39:55 GMT 2024","791","Registration_and_authentication","User_registraion","","","","Teacher_profile",""
"passed","Fri May 31 01:40:07 GMT 2024","Fri May 31 01:40:07 GMT 2024","767","Registration_and_authentication","User_registraion","","","","Login_length_1",""
"passed","Fri May 31 01:40:02 GMT 2024","Fri May 31 01:40:02 GMT 2024","526","Registration_and_authentication","User_registraion","","","","email_invalid_format",""
"failed","Fri May 31 01:39:55 GMT 2024","Fri May 31 01:39:55 GMT 2024","552","Registration_and_authentication","User_registraion","","","","Not_existing_role",""
"failed","Fri May 31 01:40:00 GMT 2024","Fri May 31 01:40:00 GMT 2024","460","Registration_and_authentication","User_registraion","","","","email_is_null",""
"passed","Fri May 31 01:40:09 GMT 2024","Fri May 31 01:40:09 GMT 2024","389","Registration_and_authentication","User_registraion","","","","Login_length_more_than_50",""
"failed","Fri May 31 01:40:00 GMT 2024","Fri May 31 01:40:01 GMT 2024","381","Registration_and_authentication","User_registraion","","","","password_is_missing",""
"passed","Fri May 31 01:40:08 GMT 2024","Fri May 31 01:40:09 GMT 2024","930","Registration_and_authentication","User_registraion","","","","Login_length_50",""
"passed","Fri May 31 01:40:12 GMT 2024","Fri May 31 01:40:12 GMT 2024","608","Registration_and_authentication","User_authentication","","","","Authenticate_teacher",""
"passed","Fri May 31 01:39:59 GMT 2024","Fri May 31 01:39:59 GMT 2024","522","Registration_and_authentication","User_registraion","","","","login_is_null",""
"passed","Fri May 31 01:39:58 GMT 2024","Fri May 31 01:39:59 GMT 2024","389","Registration_and_authentication","User_registraion","","","","login_is_missing",""
"failed","Fri May 31 01:39:56 GMT 2024","Fri May 31 01:39:57 GMT 2024","815","Registration_and_authentication","User_registraion","","","","Register_user_by_student",""
"failed","Fri May 31 01:39:59 GMT 2024","Fri May 31 01:40:00 GMT 2024","601","Registration_and_authentication","User_registraion","","","","email_is_missing",""
"passed","Fri May 31 01:40:06 GMT 2024","Fri May 31 01:40:07 GMT 2024","918","Registration_and_authentication","User_registraion","","","","Password_length_100",""
"passed","Fri May 31 01:40:12 GMT 2024","Fri May 31 01:40:13 GMT 2024","618","Registration_and_authentication","User_authentication","","","","Only_required_params",""
"passed","Fri May 31 01:40:11 GMT 2024","Fri May 31 01:40:12 GMT 2024","599","Registration_and_authentication","User_authentication","","","","Authenticate_student",""
